fold,model_type,task_type,score_type,score_val
0,transe,clf_ec,recall,0.6533333333333333
0,transe,clf_ec_full,au_roc,0.6631652661064426
0,transe,clf_ec_full,precision,0.6818181818181818
0,transe,clf_ec_full,recall,0.35714285714285715
1,triple_walk_cbow,edge_pred,au_roc,0.7066418879374022
1,triple_walk_cbow,edge_pred,precision,0.523117569352708
1,triple_walk_cbow,edge_pred,recall,0.9875311720698254
1,triple_walk_cbow,clf_kinase_substrate,au_roc,0.862548076923077
1,triple_walk_cbow,clf_kinase_substrate,precision,0.8275862068965517
1,triple_walk_cbow,clf_kinase_substrate,recall,0.72
1,triple_walk_cbow,clf_ec,au_roc,0.8124530663329161
1,triple_walk_cbow,clf_ec,precision,0.7558139534883721
1,triple_walk_cbow,clf_ec,recall,0.6914893617021277
1,triple_walk_cbow,clf_ec_full,au_roc,0.6112266112266113
1,triple_walk_cbow,clf_ec_full,precision,0.5675675675675675
1,triple_walk_cbow,clf_ec_full,recall,0.5384615384615384
1,triple_walk_sg,edge_pred,au_roc,0.775361402534119
1,triple_walk_sg,edge_pred,precision,0.6221606648199446
1,triple_walk_sg,edge_pred,recall,0.9334995843724023
1,triple_walk_sg,clf_kinase_substrate,au_roc,0.729375
1,triple_walk_sg,clf_kinase_substrate,precision,0.6804123711340206
1,triple_walk_sg,clf_kinase_substrate,recall,0.66
1,triple_walk_sg,clf_ec,au_roc,0.7306633291614518
1,triple_walk_sg,clf_ec,precision,0.765625
1,triple_walk_sg,clf_ec,recall,0.5212765957446809
1,triple_walk_sg,clf_ec_full,au_roc,0.6143451143451143
1,triple_walk_sg,clf_ec_full,precision,0.5769230769230769
1,triple_walk_sg,clf_ec_full,recall,0.38461538461538464
1,deepwalk_sg,edge_pred,au_roc,0.6259845675365479
1,deepwalk_sg,edge_pred,precision,0.541838134430727
1,deepwalk_sg,edge_pred,recall,0.656691604322527
1,deepwalk_sg,clf_kinase_substrate,au_roc,0.5598076923076923
1,deepwalk_sg,clf_kinase_substrate,precision,0.5487804878048781
1,deepwalk_sg,clf_kinase_substrate,recall,0.45
1,deepwalk_sg,clf_ec,au_roc,0.7470588235294118
1,deepwalk_sg,clf_ec,precision,0.7349397590361446
1,deepwalk_sg,clf_ec,recall,0.648936170212766
1,deepwalk_sg,clf_ec_full,au_roc,0.5585585585585585
1,deepwalk_sg,clf_ec_full,precision,0.5789473684210527
1,deepwalk_sg,clf_ec_full,recall,0.5641025641025641
1,deepwalk_cbow,edge_pred,au_roc,0.6532670816723776
1,deepwalk_cbow,edge_pred,precision,0.533012048192771
1,deepwalk_cbow,edge_pred,recall,0.9193682460515378
1,deepwalk_cbow,clf_kinase_substrate,au_roc,0.6995192307692308
1,deepwalk_cbow,clf_kinase_substrate,precision,0.6210526315789474
1,deepwalk_cbow,clf_kinase_substrate,recall,0.59
1,deepwalk_cbow,clf_ec,au_roc,0.6654568210262829
1,deepwalk_cbow,clf_ec,precision,0.675
1,deepwalk_cbow,clf_ec,recall,0.574468085106383
1,deepwalk_cbow,clf_ec_full,au_roc,0.6354816354816355
1,deepwalk_cbow,clf_ec_full,precision,0.6857142857142857
1,deepwalk_cbow,clf_ec_full,recall,0.6153846153846154
1,distmult,edge_pred,au_roc,0.6286027104585447
1,distmult,edge_pred,precision,0.542997542997543
1,distmult,edge_pred,recall,0.7348295926849543
1,distmult,clf_kinase_substrate,au_roc,0.7971634615384615
1,distmult,clf_kinase_substrate,precision,0.7945205479452054
1,distmult,clf_kinase_substrate,recall,0.58
1,distmult,clf_ec,au_roc,0.7065081351689614
1,distmult,clf_ec,precision,0.6790123456790124
1,distmult,clf_ec,recall,0.5851063829787234
1,distmult,clf_ec_full,au_roc,0.6375606375606374
1,distmult,clf_ec_full,precision,0.6470588235294118
1,distmult,clf_ec_full,recall,0.5641025641025641
1,node2vec_sg,edge_pred,au_roc,0.6308546312246538
1,node2vec_sg,edge_pred,precision,0.5411284840244731
1,node2vec_sg,edge_pred,recall,0.6616791354945969
1,node2vec_sg,clf_kinase_substrate,au_roc,0.6060576923076922
1,node2vec_sg,clf_kinase_substrate,precision,0.5510204081632653
1,node2vec_sg,clf_kinase_substrate,recall,0.54
1,node2vec_sg,clf_ec,au_roc,0.7214643304130163
1,node2vec_sg,clf_ec,precision,0.6781609195402298
1,node2vec_sg,clf_ec,recall,0.6276595744680851
1,node2vec_sg,clf_ec_full,au_roc,0.4629244629244629
1,node2vec_sg,clf_ec_full,precision,0.5
1,node2vec_sg,clf_ec_full,recall,0.5384615384615384
1,node2vec_cbow,edge_pred,au_roc,0.6959181431292923
1,node2vec_cbow,edge_pred,precision,0.532258064516129
1,node2vec_cbow,edge_pred,recall,0.9875311720698254
1,node2vec_cbow,clf_kinase_substrate,au_roc,0.7589423076923076
1,node2vec_cbow,clf_kinase_substrate,precision,0.7419354838709677
1,node2vec_cbow,clf_kinase_substrate,recall,0.69
1,node2vec_cbow,clf_ec,au_roc,0.6703379224030037
1,node2vec_cbow,clf_ec,precision,0.6764705882352942
1,node2vec_cbow,clf_ec,recall,0.48936170212765956
1,node2vec_cbow,clf_ec_full,au_roc,0.6687456687456688
1,node2vec_cbow,clf_ec_full,precision,0.631578947368421
1,node2vec_cbow,clf_ec_full,recall,0.6153846153846154
1,transe,edge_pred,au_roc,0.6245680478769825
1,transe,edge_pred,precision,0.5352372178719484
1,transe,edge_pred,recall,0.9659185369908562
1,transe,clf_kinase_substrate,au_roc,0.5936538461538462
1,transe,clf_kinase_substrate,precision,0.5714285714285714
1,transe,clf_kinase_substrate,recall,0.6
1,transe,clf_ec,au_roc,0.579349186483104
1,transe,clf_ec,precision,0.5970149253731343
1,transe,clf_ec,recall,0.425531914893617
1,transe,clf_ec_full,au_roc,0.45148995148995147
1,transe,clf_ec_full,precision,0.5
1,transe,clf_ec_full,recall,0.5384615384615384
2,triple_walk_cbow,edge_pred,au_roc,0.6867556793801034
2,triple_walk_cbow,edge_pred,precision,0.521034180543383
2,triple_walk_cbow,edge_pred,recall,0.9883624272651704
2,triple_walk_cbow,clf_kinase_substrate,au_roc,0.8034010983717121
2,triple_walk_cbow,clf_kinase_substrate,precision,0.8352941176470589
2,triple_walk_cbow,clf_kinase_substrate,recall,0.6635514018691588
2,triple_walk_cbow,clf_ec,au_roc,0.762468671679198
2,triple_walk_cbow,clf_ec,precision,0.7333333333333333
2,triple_walk_cbow,clf_ec,recall,0.6947368421052632
2,triple_walk_cbow,clf_ec_full,au_roc,0.7461805555555555
2,triple_walk_cbow,clf_ec_full,precision,0.7777777777777778
2,triple_walk_cbow,clf_ec_full,recall,0.525
2,triple_walk_sg,edge_pred,au_roc,0.8000817435491349
2,triple_walk_sg,edge_pred,precision,0.626571897211591
2,triple_walk_sg,edge_pred,recall,0.9526184538653366
2,triple_walk_sg,clf_kinase_substrate,au_roc,0.672800847865883
2,triple_walk_sg,clf_kinase_substrate,precision,0.6448598130841121
2,triple_walk_sg,clf_kinase_substrate,recall,0.6448598130841121
2,triple_walk_sg,clf_ec,au_roc,0.7451754385964912
2,triple_walk_sg,clf_ec,precision,0.6744186046511628
2,triple_walk_sg,clf_ec,recall,0.6105263157894737
2,triple_walk_sg,clf_ec_full,au_roc,0.6291666666666667
2,triple_walk_sg,clf_ec_full,precision,0.6046511627906976
2,triple_walk_sg,clf_ec_full,recall,0.65
2,deepwalk_sg,edge_pred,au_roc,0.6292263246013533
2,deepwalk_sg,edge_pred,precision,0.5460893854748603
